ID,Picture,Title,Description,Price
1,<img class="myImages" id="myImg" src=http://whitecompany.scene7.com/is/image/whitecompany/WGHS9_24_MAIN?$D_PDP_1137x1137$ alt="Symons Nordmann Christmas Tree – 9ft -- This show-stopping Christmas tree boasts a thicker plus fuller shape and looks incredibly realistic. Made using the most authentic-looking faux-ferns and tree trunk. This tree looks just like a real Nordmann tree. What’s more is that this impressive 9ft design comes with a rustic-looking wicker skirt which neatly disguises the base and adds a touch of beauty. Ideal for the hallway and dining room meaning nothing will create a bigger impact than this. -- £850.00" width="45%" height="12.5%"> <div id="myModal" class="modal"> <span class="close">×</span> <img class="modal-content" id="img01"> <div id="caption"></div> </div> ,Symons Nordmann Christmas Tree – 9ft,This show-stopping Christmas tree boasts a thicker plus fuller shape and looks incredibly realistic. Made using the most authentic-looking faux-ferns and tree trunk. This tree looks just like a real Nordmann tree. What’s more is that this impressive 9ft design comes with a rustic-looking wicker skirt which neatly disguises the base and adds a touch of beauty. Ideal for the hallway and dining room meaning nothing will create a bigger impact than this.,£850.00
3,<img class="myImages" id="myImg" src=http://whitecompany.scene7.com/is/image/whitecompany/PAHLX_15_MAIN?$D_PDP_1137x1137$ alt="Pimlico Luxury Christmas Crackers - Set Of 6 -- These luxury crackers are the ultimate in elegance. Finished with a silver foiled calligraphic text (Wish) that was hand-scripted by our in-house expert and hand-embellished with sparkly ribbons. Each cracker is fabulously statement-making. Filled with lovingly crafted treasures and trinkets. There’s something to delight everyone at your table. -- £45.00" width="45%" height="12.5%"> <div id="myModal" class="modal"> <span class="close">×</span> <img class="modal-content" id="img01"> <div id="caption"></div> </div> ,Pimlico Luxury Christmas Crackers - Set Of 6,These luxury crackers are the ultimate in elegance. Finished with a silver foiled calligraphic text (Wish) that was hand-scripted by our in-house expert and hand-embellished with sparkly ribbons. Each cracker is fabulously statement-making. Filled with lovingly crafted treasures and trinkets. There’s something to delight everyone at your table.,£45.00
4,<img class="myImages" id="myImg" src=http://whitecompany.scene7.com/is/image/whitecompany/WGHBW_24_MAIN?$D_PDP_1137x1137$ alt="Pre-Lit Sparkle Wreath -- Our most glamorous wreath yet. This one is made from a selection of intertwined gold and champagne- coloured foliage and branches. Some of which have been hand-beaded or flecked with snow-white buds, and dotted with genuine pine cones. To enhance this frosted look. Battery-powered lights are dotted in between the branches which add lots of warmth and sparkle. We love hanging it on inside doors to welcome guests into the dining room or placing it above the mantelpiece in the living room. Team with our matching garland for a beautifully considered look. -- £45.00" width="45%" height="12.5%"> <div id="myModal" class="modal"> <span class="close">×</span> <img class="modal-content" id="img01"> <div id="caption"></div> </div> ,Pre-Lit Sparkle Wreath,Our most glamorous wreath yet. This one is made from a selection of intertwined gold and champagne- coloured foliage and branches. Some of which have been hand-beaded or flecked with snow-white buds and dotted with genuine pine cones. To enhance this frosted look. Battery-powered lights are dotted in between the branches which add lots of warmth and sparkle. We love hanging it on inside doors to welcome guests into the dining room or placing it above the mantelpiece in the living room. Team with our matching garland for a beautifully considered look.,£45.00  
5,<img class="myImages" id="myImg" src=http://whitecompany.scene7.com/is/image/whitecompany/HCHSH_15_MAIN?$D_PDP_1137x1137$ alt="Small House Candle Holder -- Our charming little house-shaped candle holders are a beautiful addition to your Christmas decorations. Rustically painted white and finished with a cut-out door on the back you can pop a tealight inside and watch the light glow through the windows. Lovingly handmade these delightful houses look fabulous as a centrepiece or dotted down any surface. -- £12.00" width="45%" height="12.5%"> <div id="myModal" class="modal"> <span class="close">×</span> <img class="modal-content" id="img01"> <div id="caption"></div> </div> ,Small House Candle Holder,Our charming little house-shaped candle holders are a beautiful addition to your Christmas decorations. Rustically painted white and finished with a cut-out door on the back you can pop a tealight inside and watch the light glow through the windows. Lovingly handmade these delightful houses look fabulous as a centrepiece or dotted down any surface.,£12.00
6,<img class="myImages" id="myImg" src=http://whitecompany.scene7.com/is/image/whitecompany/FLHFB_2_MAIN?$D_PDP_1137x1137$ alt="Frosted Bubble Fairy Lights – 20 Bulbs -- We absolutely love the enchanting look of these plug-in fairy lights. Featuring 20 bulbs which are nestled within individual frosted bubbles they give a lovely diffused warm-white glow. At 2.8 metres long we think they look gorgeous laced around your mantelpiece or amongst a mini tree. -- £14.00" width="45%" height="12.5%"> <div id="myModal" class="modal"> <span class="close">×</span> <img class="modal-content" id="img01"> <div id="caption"></div> </div> ,Frosted Bubble Fairy Lights – 20 Bulbs,We absolutely love the enchanting look of these plug-in fairy lights. Featuring 20 bulbs which are nestled within individual frosted bubbles they give a lovely diffused warm-white glow. At 2.8 metres long we think they look gorgeous laced around your mantelpiece or amongst a mini tree.,£14.00
7,<img class="myImages" id="myImg" src=http://whitecompany.scene7.com/is/image/whitecompany/FLHCA_2_MAIN?$D_PDP_1137x1137$ alt="Cascading Fairy Lights - 640 Bulbs -- These elegant lights look stunning when draped down the dining table or from a statement-making piece such as your hallway mirror. Made with 640 lights which sparkle across the delicately clear strands this 1.9m piece is a magical party accessory you can enjoy all-year round. Complete with a timer these lights can be set to automatically turn off. -- £42.00" width="45%" height="12.5%"> <div id="myModal" class="modal"> <span class="close">×</span> <img class="modal-content" id="img01"> <div id="caption"></div> </div> ,Cascading Fairy Lights - 640 Bulbs,These elegant lights look stunning when draped down the dining table or from a statement-making piece such as your hallway mirror. Made with 640 lights which sparkle across the delicately clear strands this 1.9m piece is a magical party accessory you can enjoy all-year round. Complete with a timer these lights can be set to automatically turn off.,£42.00
8,<img class="myImages" id="myImg" src=http://whitecompany.scene7.com/is/image/whitecompany/TDHE6_2_MAIN?$D_PDP_1137x1137$ alt="Etched Snowflake Baubles – Set Of 6 -- Simply stunning we’ve carefully etched each of these clear-glass baubles with a single snowflake. Finished with a sparkling silver cap this set of six baubles adds the perfect amount of frosting to any Christmas tree – watch how they glisten in the light just like the frost outside. -- £14.00" width="45%" height="12.5%"> <div id="myModal" class="modal"> <span class="close">×</span> <img class="modal-content" id="img01"> <div id="caption"></div> </div> ,Etched Snowflake Baubles – Set Of 6,Simply stunning we’ve carefully etched each of these clear-glass baubles with a single snowflake. Finished with a sparkling silver cap this set of six baubles adds the perfect amount of frosting to any Christmas tree – watch how they glisten in the light just like the frost outside.,£14.00
9,<img class="myImages" id="myImg" src=http://whitecompany.scene7.com/is/image/whitecompany/TDHRE_99_MAIN?$D_PDP_1137x1137$ alt="Glitter Bird Christmas Decoration -- This striking sparkly bird is a real stand-out addition to your Christmas decorations. Delicate yet contemporary we think it’s the perfect way to refresh the look of your Christmas tree when styled in multiples. Each little bird has been dipped in silver glitter and flies from a plush-velvet tie for a lovely premium finish. -- £2.80" width="45%" height="12.5%"> <div id="myModal" class="modal"> <span class="close">×</span> <img class="modal-content" id="img01"> <div id="caption"></div> </div> ,Glitter Bird Christmas Decoration,This striking sparkly bird is a real stand-out addition to your Christmas decorations. Delicate yet contemporary we think it’s the perfect way to refresh the look of your Christmas tree when styled in multiples. Each little bird has been dipped in silver glitter and flies from a plush-velvet tie for a lovely premium finish.,£2.80
10,<img class="myImages" id="myImg" src=http://whitecompany.scene7.com/is/image/whitecompany/WGHCT_24_MAIN?$D_PDP_1137x1137$ alt="Mini Conifer Tree – 1.35ft -- We absolutely love this new little conifer tree which is a lovely alternative to a traditionally shaped fir tree. Its naturally tall and thin silhouette mirrors that of a real conifer tree but its petite 1.35ft size means you can dot them in multiples down the coffee table windowsill or mantelpiece for maximum impact. Potted in a rustic-looking hessian base it really is a lovely addition to your decorations. -- £15.00" width="45%" height="12.5%"> <div id="myModal" class="modal"> <span class="close">×</span> <img class="modal-content" id="img01"> <div id="caption"></div> </div> ,Mini Conifer Tree – 1.35ft,We absolutely love this new little conifer tree which is a lovely alternative to a traditionally shaped fir tree. Its naturally tall and thin silhouette mirrors that of a real conifer tree but its petite 1.35ft size means you can dot them in multiples down the coffee table windowsill or mantelpiece for maximum impact. Potted in a rustic-looking hessian base it really is a lovely addition to your decorations.,£15.00
11,<img class="myImages" id="myImg" src=http://whitecompany.scene7.com/is/image/whitecompany/WGHMW_15_MAIN?$D_PDP_1137x1137$ alt="Ultimate Metal Wreath -- If you’re looking for a fabulous and contemporary wreath this Christmas look no further. This limited-edition and completely handmade design is like no other. To make it our skilled craftspeople have individually stamped and embossed each metal leaf before dipping them in matte-white paint. The gorgeous collection of ivy leaves and blossoming flowers creates wonderful depth and texture which looks stunning styled on a pure-white wall. Hang it up for Christmas or keep it up all year – the choice is yours. -- £65.00" width="45%" height="12.5%"> <div id="myModal" class="modal"> <span class="close">×</span> <img class="modal-content" id="img01"> <div id="caption"></div> </div> ,Ultimate Metal Wreath,If you’re looking for a fabulous and contemporary wreath this Christmas look no further. This limited-edition and completely handmade design is like no other. To make it our skilled craftspeople have individually stamped and embossed each metal leaf before dipping them in matte-white paint. The gorgeous collection of ivy leaves and blossoming flowers creates wonderful depth and texture which looks stunning styled on a pure-white wall. Hang it up for Christmas or keep it up all year – the choice is yours.,£65.00  
